date,direct_burn,direct_burn_kbd,temp_mean_mean,temp_mean_max,temp_mean_std,temp_max_mean,temp_max_max,temp_min_mean,temp_min_min,temp_range_mean,temp_range_max,extreme_heat_sum,very_hot_sum,hot_sum,cooling_degree_days_24_sum,humidity_mean_mean,precipitation_sum,heat_index_mean,heat_index_max,temp_mean_mean_ma3,cooling_degree_days_24_sum_ma3,temp_mean_mean_ma6,cooling_degree_days_24_sum_ma6,temp_mean_lag1,temp_mean_lag2,temp_mean_lag12,month,quarter,month_sin,month_cos,direct_burn_lag1,direct_burn_lag2,direct_burn_lag3,direct_burn_lag12,direct_burn_ma3,direct_burn_ma6,direct_burn_ma12,is_summer,summer_heat,humidity_heat
2014-01-01,370000,370.0,17.60241935483871,22.341666666666665,2.344236622122819,22.361021505376346,27.441666666666666,13.159139784946237,9.441666666666666,9.201881720430107,13.991666666666667,0,0,0,0.0,63.75,19.908333333333335,19.20178378407676,25.905519535212495,19.653527479091995,6.794444444444408,25.292995818399046,109.55972222222225,18.30510752688172,23.053055555555556,18.83978494623656,1,1,0.49999999999999994,0.8660254037844387,343.0,342.0,451.0,318.0,351.6666666666667,486.0,487.6666666666667,0,0.0,11.221542338709678
2014-02-01,353000,353.0,19.079761904761906,24.124999999999996,2.417967326204752,24.429761904761904,30.516666666666673,13.844642857142857,9.758333333333335,10.585119047619047,13.075,0,0,0,0.12499999999999645,47.86607142857143,2.216666666666667,19.428761148259145,26.000141199302497,18.32909626216078,0.041666666666627585,22.86843104625363,59.84027777777779,17.60241935483871,18.30510752688172,20.448214285714283,2,1,0.8660254037844386,0.5000000000000001,370.0,343.0,342.0,294.0,355.3333333333333,419.5,492.5833333333333,0,0.0,9.132732461734696
2014-03-01,356000,356.0,23.634677419354837,27.333333333333332,2.3111305722746924,28.80833333333333,31.98333333333333,18.216397849462368,12.416666666666668,10.591935483870966,13.725000000000005,0,0,0,22.883333333333333,42.26881720430107,1.0499999999999998,24.993643372621232,29.57213195913138,20.105619559651817,7.669444444444405,21.516849505034987,24.933333333333337,19.079761904761906,17.60241935483871,23.668817204301074,3,1,1.0,6.123233995736766e-17,353.0,370.0,343.0,368.0,359.6666666666667,369.1666666666667,491.5833333333333,0,0.0,9.990098595213318
2014-04-01,484000,484.0,28.31,32.46666666666666,2.8221325256509764,33.935833333333335,37.35,22.13,15.891666666666667,11.805833333333334,13.49166666666667,0,0,0,134.09166666666667,37.522222222222226,0.875,30.8132959306082,36.16356940340966,23.674813108038915,52.366666666666625,21.66417029356545,29.580555555555552,23.634677419354837,19.079761904761906,26.514722222222222,4,2,0.8660254037844387,-0.4999999999999998,356.0,353.0,370.0,378.0,397.6666666666667,374.6666666666667,500.4166666666667,0,0.0,10.622541111111111
2014-05-01,680000,680.0,31.02741935483871,33.9,1.6617597120227057,36.25134408602151,39.241666666666674,24.813440860215056,21.625,11.437903225806453,14.458333333333329,0,0,0,217.85,34.892473118279575,0.9916666666666667,34.21962422141824,38.69091840901161,27.65736559139785,124.94166666666662,22.993230926779315,62.49166666666667,28.31,23.634677419354837,29.366935483870968,5,2,0.49999999999999994,-0.8660254037844387,484.0,356.0,353.0,547.0,506.6666666666667,431.0,511.5,0,0.0,10.826233957682971
2014-06-01,827000,827.0,32.71027777777778,34.10833333333333,0.8755969045947398,38.383611111111115,40.35,26.153333333333332,24.216666666666665,12.23027777777778,13.95,0,0,1,261.30833333333334,32.769444444444446,0.0,36.157931100181926,38.010420156150516,30.682565710872165,204.41666666666663,25.394092635261995,106.04305555555555,31.02741935483871,28.31,32.520833333333336,6,2,1.2246467991473532e-16,-1.0,680.0,484.0,356.0,592.0,663.6666666666666,511.6666666666667,531.0833333333334,1,32.71027777777778,10.71897630401235
2014-07-01,899000,899.0,33.96774193548387,34.858333333333334,0.4848431492049196,39.520967741935486,40.733333333333334,27.398924731182795,25.491666666666667,12.122043010752689,14.400000000000006,0,0,7,309.0,33.0,0.5,38.15859354440795,40.24355772106335,32.56847968936679,262.7194444444444,28.121646398702854,157.54305555555555,32.71027777777778,31.02741935483871,33.921505376344086,7,3,-0.4999999999999997,-0.8660254037844388,827.0,680.0,484.0,757.0,802.0,599.8333333333334,542.9166666666666,1,33.96774193548387,11.209354838709679
2014-08-01,769000,769.0,34.11102150537634,34.858333333333334,0.4717402136258189,39.54784946236559,40.53333333333334,27.544623655913977,26.558333333333334,12.003225806451614,13.675000000000008,0,0,6,313.44166666666666,35.752688172043015,0.0,39.20172761991038,41.76474075467766,33.59634707287933,294.58333333333326,30.62685633213859,209.76250000000002,33.96774193548387,32.71027777777778,33.62715053763441,8,3,-0.8660254037844385,-0.5000000000000004,899.0,827.0,680.0,752.0,831.6666666666666,669.1666666666666,544.3333333333334,1,34.11102150537634,12.195607151115738
2014-09-01,648000,648.0,31.796388888888888,33.616666666666674,1.3350988371102477,37.099722222222226,39.125,25.719444444444445,23.116666666666667,11.38027777777778,12.624999999999996,0,0,0,233.8916666666667,38.652777777777786,0.08333333333333334,36.337700365207475,39.01995816977885,33.2917174432497,285.4444444444444,31.987141577060935,244.93055555555554,34.11102150537634,33.96774193548387,31.74416666666667,9,3,-1.0,-1.8369701987210297e-16,769.0,899.0,827.0,658.0,772.0,717.8333333333334,543.5,1,31.796388888888888,12.290187538580248
2014-10-01,512000,512.0,28.708064516129035,30.26666666666667,1.182737494494915,33.90403225806452,35.76666666666667,23.115591397849464,20.76666666666667,10.788440860215056,12.39166666666667,0,0,0,145.95000000000002,43.314516129032256,0.0,32.622199754029296,34.72475981221731,31.53849163679809,231.09444444444443,32.05348566308244,246.90694444444446,31.796388888888888,34.11102150537634,27.426075268817204,10,4,-0.8660254037844386,0.5000000000000001,648.0,769.0,899.0,451.0,643.0,722.5,548.5833333333334,0,0.0,12.434759235171695
